;age;gender;height;weight;Fitbit.Steps_LE;Fitbit.Heart_LE;Fitbit.Calories_LE;Fitbit.Distance_LE;EntropyFitbitHeartPerDay_LE;EntropyFitbitStepsPerDay_LE;RestingFitbitHeartrate_LE;CorrelationFitbitHeartrateSteps_LE;NormalizedFitbitHeartrate_LE;FitbitIntensity_LE;SDNormalizedFitbitHR_LE;FitbitStepsXDistance_LE;activity_trimmed
1;20;1;168;65.4;1;132;1;1;593.858.836.864.981;217.979.918.652.911;130.428.571.428.571;1;157.142.857.142.901;0.022587268993846;1;1;Lying
2;20;1;168;65.4;1;132.777.777.777.778;1;1;593.858.836.864.981;217.979.918.652.911;130.428.571.428.571;1;234.920.634.920.701;0.0337668263746385;1;1;Lying
3;20;1;168;65.4;1;129.888.888.888.889;1;1;593.858.836.864.981;217.979.918.652.911;130.428.571.428.571;1;-0.539682539681991;-0.00775724389686635;1;1;Lying
4;20;1;168;65.4;1;129.142.857.142.857;1;1;593.858.836.864.981;217.979.918.652.911;130.428.571.428.571;1;-128.571.428.571.399;-0.0184804928131374;1;1;Lying
11;20;1;168;65.4;1;134.555.555.555.556;3.5;1;593.858.836.864.981;217.979.918.652.911;130.428.571.428.571;-0.493588722397333;412.698.412.698.501;0.0593201003878745;136.800.679.705.628;1;Self Pace walk
12;20;1;168;65.4;1;132;62;1;593.858.836.864.981;217.979.918.652.911;130.428.571.428.571;0.88354285812589;157.142.857.142.901;0.022587268993846;326.067.636.082.747;1;Self Pace walk
13;20;1;168;65.4;1;131.333.333.333.333;65;1;593.858.836.864.981;217.979.918.652.911;130.428.571.428.571;0.900874611575286;0.904761904762012;0.0130047912388789;560.363.358.798.433;1;Self Pace walk
14;20;1;168;65.4;1;131.8;66.5;1;593.858.836.864.981;217.979.918.652.911;130.428.571.428.571;0.944679486484544;137.142.857.142.902;0.0197125256673575;743.593.842.684.681;1;Self Pace walk
15;20;1;168;65.4;1;130.5;71;1;593.858.836.864.981;217.979.918.652.911;130.428.571.428.571;0.956825230155659;0.0714285714290099;0.00102669404518083;96.100.258.331.394;1;Self Pace walk
16;20;1;168;65.4;14;130.428.571.428.571;73;257;593.858.836.864.981;217.979.918.652.911;130.428.571.428.571;0.957145928672946;0;0;955.521.739.187.672;3598;Self Pace walk
